#起始日期：2017-06-01 00:00:00  终止日期：2017-06-12 23:59:59												
#交易金额合计：11197笔，共4110546.80元												
#下载时间：2017-06-18 20:58:23												
												
交易时间	微信支付单号	商户订单号	商户号	特约商户号	设备号	appid	下单用户	交易场景	交易状态	支付成功时间	交易金额(元)	现金券抵扣金额(元) 
2017/6/1 6:01	"4002922001201706013615651032	"	"GH20170601060032787386233	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wYlOAgADJBR9_0gcxed1LMw	公众号支付	买家已支付	2017/6/1 6:01	3.5	0
2017/6/1 6:01	"4001782001201706013613721250	"	"GH201706010600401336028307	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wdYUhSlj8VsjI5O4u7KwPpg	公众号支付	买家已支付	2017/6/1 6:01	7.5	0
2017/6/1 6:01	"4001542001201706013615614129	"	"GH20170601060039406592357	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wY-PmWvjQG6Qn7By1T9LzOA	公众号支付	买家已支付	2017/6/1 6:01	3.5	0
2017/6/1 6:01	"4005722001201706013613711912	"	"GH20170601060035903748657	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wWB6QKQ7BFpSEn8L7_qg4T8	公众号支付	买家已支付	2017/6/1 6:01	3.5	0.52
2017/6/1 6:01	"4009012001201706013615645864	"	"GH201706010600512097348796	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wfqvUJb-wNhDTROKifjnHY0	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:01	"4005692001201706013613694170	"	"GH201706010600521523250486	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wYcMO-sqBahwXMtxGtYdIHw	公众号支付	买家已支付	2017/6/1 6:01	7.5	0
2017/6/1 6:01	"4006562001201706013613743411	"	"GH20170601060030956510372	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wWVZbG8af7Op2AtH5mqYGpA	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:01	"4000012001201706013611734520	"	"GH201706010600501221515126	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wYs6AquoZPP6X5PyqgxP3Ng	公众号支付	待买家支付		3.5	0
2017/6/1 6:01	"4008102001201706013615610350	"	"GH201706010601011451282903	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wcAsLM62GD20J0fzp08VzKk	公众号支付	买家已支付	2017/6/1 6:01	5.5	0
2017/6/1 6:02	"4008092001201706013611775410	"	"GH201706010601051532190662	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wRP3jt0sUORjLVv_5fVYl68	公众号支付	买家已支付	2017/6/1 6:02	3.5	0
2017/6/1 6:02	"4004092001201706013613717515	"	"GH20170601060127302819020	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wZYJP_dNM8VqYtzOgrGowfU	公众号支付	买家已支付	2017/6/1 6:02	3.5	0
2017/6/1 6:02	"4003302001201706013613692385	"	"GH201706010601361495410481	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wZ_VS5blJMAaP11XFyr2DYE	公众号支付	买家已支付	2017/6/1 6:02	7.5	0
2017/6/1 6:02	"4002802001201706013611760876	"	"GH201706010601351614898089	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wRd8SAy1_ZPd82G7-1CPuA8	公众号支付	买家已支付	2017/6/1 6:02	3.5	0
2017/6/1 6:02	"4002392001201706013616561615	"	"GH20170601060142702551501	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wSsDkcOfdP0zk1kiUj2BBaw	公众号支付	买家已支付	2017/6/1 6:02	3.5	0.4
2017/6/1 6:02	"4008402001201706013616529869	"	"GH20170601060155973806623	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wc-vgp4PpLI85On-poB3KOc	公众号支付	买家已支付	2017/6/1 6:02	3.5	0
2017/6/1 6:02	"4006382001201706013613703576	"	"GH201706010601492087606831	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1walSThllnWAWin5q_6bxHuU	公众号支付	买家已支付	2017/6/1 6:02	7.5	0
2017/6/1 6:02	"4010102001201706013613736288	"	"GH20170601060156959624757	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wb9LE3pAQH_m6uI8jVi6xxA	公众号支付	买家已支付	2017/6/1 6:02	7.5	0
2017/6/1 6:02	"4007382001201706013615674030	"	"GH2017060106015683791087	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wRU_XkALa_HNUmdEyjlgx20	公众号支付	买家已支付	2017/6/1 6:02	3.5	0
2017/6/1 6:02	"4000012001201706013613722949	"	"GH201706010601561371689861	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wdvfzGIdV8ahDjlCy6k2M0I	公众号支付	买家已支付	2017/6/1 6:03	5.5	0
2017/6/1 6:02	"4000302001201706013613710984	"	"GH20170601060209841986392	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wQGCNE1WowyWGdR-mvSiQbM	公众号支付	买家已支付	2017/6/1 6:02	3.5	0
